review_id,hotel_id,hotel_name,city,star_rating,overall_rating,total_reviews,price_per_night_inr,room_size_sqft,number_of_rooms,number_of_floors,year_established,family_friendly,pet_friendly,business_facilities,pool_available,spa_available,primary_crowd_type,cleanliness_score,service_score,food_quality_score,location_score,amenities,nearby_attraction,distance_to_attraction_km,reviewer_name,review_rating,review_date,review_text
REV0011,HTL003,Crimson Valley Lodge,Pune,3,5.0,616,17671,293,406,5,1992,Yes,Yes,No,Yes,No,Seniors,4.2,3.9,3.1,4.1,Airport Shuttle|Concierge|Spa|Bicycle Rental,Botanical Garden,7.6,Manish Tiwari,4.0,2024-03-12,This heritage property is a beautifully restored 19th century mansion. Walking through the corridors feels like stepping back in time. The rooftop terrace overlooks a historic fort and the lake below — not a sea view but equally majestic. The restaurant serves traditional Rajasthani thali with authentic flavors that you simply cannot find in modern hotels. The courtyard pool surrounded by carved stone pillars is stunning. Every corner of this hotel is photogenic. Perfect for travelers who love history and culture.
REV0012,HTL003,Crimson Valley Lodge,Pune,3,5.0,616,17671,293,406,5,1992,Yes,Yes,No,Yes,No,Seniors,4.2,3.9,3.1,4.1,Airport Shuttle|Concierge|Spa|Bicycle Rental,Botanical Garden,7.6,Anjali Nair,3.8,2024-09-01,"Great hotel for families. The swimming pool has a shallow section for kids and lifeguards are always present which gave us peace of mind. The restaurant serves continental and Indian food and the kitchen accommodated our kids' food preferences without any fuss. The family suite was large with a separate sleeping area for children. Staff was warm and patient with our little ones. The property is clean, safe, and well-maintained. Highly recommend for family vacations."
REV0013,HTL004,The Metro Grand Bangalore,Bangalore,3,4.8,1309,9346,259,143,7,1990,Partially,No,Yes,Yes,Yes,Mixed,4.9,3.3,3.8,4.2,Bicycle Rental|Pet Friendly|Room Service|Concierge|Restaurant,Heritage Fort,4.1,Kavya Iyer,3.1,2024-06-01,The most romantic hotel we have ever stayed at. The rooftop restaurant with its sea view and candle-lit tables is made for couples. The infinity pool right next to it means you can watch the stars from the water. Staff went out of their way to arrange a surprise sunset cruise for us. Room was elegantly designed with premium linen and a private balcony. This hotel understands romance at a deep level. Already planning to return for our next anniversary.
REV0014,HTL004,The Metro Grand Bangalore,Bangalore,3,4.8,1309,9346,259,143,7,1990,Partially,No,Yes,Yes,Yes,Mixed,4.9,3.3,3.8,4.2,Bicycle Rental|Pet Friendly|Room Service|Concierge|Restaurant,Heritage Fort,4.1,Suresh Krishnan,3.9,2024-10-08,"This hotel is a true wellness sanctuary. The spa is the best I have experienced in India — highly skilled therapists, premium oils, and a beautifully designed treatment room with soft natural light. Post-spa the pool area is serene and rarely crowded. The restaurant serves a dedicated wellness menu with fresh juices, salads, and low-calorie options alongside regular meals. There is no rooftop restaurant but the ground floor dining area has large windows with a garden view. Ideal for anyone seeking rest and rejuvenation."
REV0015,HTL004,The Metro Grand Bangalore,Bangalore,3,4.8,1309,9346,259,143,7,1990,Partially,No,Yes,Yes,Yes,Mixed,4.9,3.3,3.8,4.2,Bicycle Rental|Pet Friendly|Room Service|Concierge|Restaurant,Heritage Fort,4.1,Rahul Sharma,2.7,2024-11-02,A one of a kind stay in a heritage hotel. The property blends historic architecture with modern comfort seamlessly. The rooftop has a restaurant that looks directly over the old city walls and a shimmering lake. Evening table reserved by the terrace railing with a candle and local folk music playing — absolutely magical. The pool in the inner courtyard maintains a traditional haveli aesthetic. Food was phenomenal — the dal baati churma was the best I have ever had.
REV0016,HTL004,The Metro Grand Bangalore,Bangalore,3,4.8,1309,9346,259,143,7,1990,Partially,No,Yes,Yes,Yes,Mixed,4.9,3.3,3.8,4.2,Bicycle Rental|Pet Friendly|Room Service|Concierge|Restaurant,Heritage Fort,4.1,Kavya Iyer,2.7,2024-01-28,Woke up every morning to the sound of birds and the sight of mist rising off the lake. The open-air lakeside restaurant serves excellent local cuisine and the ambiance is very romantic. The pool overlooks the lake and you can see boats drifting past while you swim. The hotel is well-maintained and the staff was consistently helpful. Ideal for a peaceful escape from city life. One of the most beautiful properties we have stayed at in India.
REV0017,HTL004,The Metro Grand Bangalore,Bangalore,3,4.8,1309,9346,259,143,7,1990,Partially,No,Yes,Yes,Yes,Mixed,4.9,3.3,3.8,4.2,Bicycle Rental|Pet Friendly|Room Service|Concierge|Restaurant,Heritage Fort,4.1,Arjun Reddy,2.7,2024-04-09,Rooftop restaurant with sea view — this was the main reason we booked and we were not disappointed. The pool sits right at the edge of the terrace overlooking the coastline. Dining experience was top tier. The pasta and grilled fish were outstanding. Ambiance in the evening with fairy lights and the sound of the sea was romantic beyond words. Rooms were also clean and well-maintained. Great value for a premium coastal experience.
REV0018,HTL005,The Hillside Manor Udaipur,Udaipur,5,4.9,2388,16988,448,421,32,2011,Yes,Yes,Yes,No,No,Seniors,3.8,4.7,2.6,4.3,Spa|Swimming Pool|Conference Rooms|Concierge|Rooftop Lounge|Bicycle Rental|Restaurant|Pet Friendly|Free Parking,Botanical Garden,4.6,Amit Verma,3.6,2024-09-04,"Great hotel for families. The swimming pool has a shallow section for kids and lifeguards are always present which gave us peace of mind. The restaurant serves continental and Indian food and the kitchen accommodated our kids' food preferences without any fuss. The family suite was large with a separate sleeping area for children. Staff was warm and patient with our little ones. The property is clean, safe, and well-maintained. Highly recommend for family vacations."
REV0019,HTL005,The Hillside Manor Udaipur,Udaipur,5,4.9,2388,16988,448,421,32,2011,Yes,Yes,Yes,No,No,Seniors,3.8,4.7,2.6,4.3,Spa|Swimming Pool|Conference Rooms|Concierge|Rooftop Lounge|Bicycle Rental|Restaurant|Pet Friendly|Free Parking,Botanical Garden,4.6,Priya Mehta,4.1,2024-09-27,"Ideal hotel for business travel. Fast internet throughout the property including in all meeting rooms. The executive floor rooms have a dedicated work desk, ergonomic chair, and extra power outlets. The restaurant stays open late which is helpful after evening client dinners. Conference room setup was professional and the AV team was very responsive. Location is central to the business district. The pool and gym helped me maintain my routine during the work week."
REV0020,HTL005,The Hillside Manor Udaipur,Udaipur,5,4.9,2388,16988,448,421,32,2011,Yes,Yes,Yes,No,No,Seniors,3.8,4.7,2.6,4.3,Spa|Swimming Pool|Conference Rooms|Concierge|Rooftop Lounge|Bicycle Rental|Restaurant|Pet Friendly|Free Parking,Botanical Garden,4.6,Rahul Sharma,4.9,2024-04-06,A one of a kind stay in a heritage hotel. The property blends historic architecture with modern comfort seamlessly. The rooftop has a restaurant that looks directly over the old city walls and a shimmering lake. Evening table reserved by the terrace railing with a candle and local folk music playing — absolutely magical. The pool in the inner courtyard maintains a traditional haveli aesthetic. Food was phenomenal — the dal baati churma was the best I have ever had.
REV0021,HTL005,The Hillside Manor Udaipur,Udaipur,5,4.9,2388,16988,448,421,32,2011,Yes,Yes,Yes,No,No,Seniors,3.8,4.7,2.6,4.3,Spa|Swimming Pool|Conference Rooms|Concierge|Rooftop Lounge|Bicycle Rental|Restaurant|Pet Friendly|Free Parking,Botanical Garden,4.6,Divya Choudhary,3.7,2024-04-28,"Stayed for a 5 day corporate conference. The conference facilities are excellent — high quality projectors, reliable gigabit Wi-Fi, and a dedicated business center with printing and scanning. The restaurant serves a solid breakfast buffet which is important for early morning meetings. The bar is a good spot for informal networking dinners. Rooms are soundproofed and quiet which I appreciate when working late. The pool was a great way to decompress after long sessions. Would book again for corporate events."
REV0022,HTL006,The Lakeside Retreat,Mumbai,3,5.0,1136,16409,492,236,33,1994,Yes,No,Yes,Yes,Yes,Groups,3.1,4.2,3.8,4.7,Swimming Pool|Pet Friendly|Spa|Gym|Room Service,Zoo,0.9,Kavya Iyer,3.9,2024-01-20,"Spent 3 nights here entirely focused on wellness. The spa menu is comprehensive with Ayurvedic treatments, deep tissue massages, and couple packages. The pool is kept at a comfortable temperature and the surrounding area is decorated with plants and ambient lighting. Restaurant food is healthy and fresh. The hotel maintains a no-noise policy after 10pm which makes the environment genuinely peaceful. If you want to decompress and recharge, this is the place."
REV0023,HTL006,The Lakeside Retreat,Mumbai,3,5.0,1136,16409,492,236,33,1994,Yes,No,Yes,Yes,Yes,Groups,3.1,4.2,3.8,4.7,Swimming Pool|Pet Friendly|Spa|Gym|Room Service,Zoo,0.9,Amit Verma,3.5,2024-10-19,Rooftop restaurant with sea view — this was the main reason we booked and we were not disappointed. The pool sits right at the edge of the terrace overlooking the coastline. Dining experience was top tier. The pasta and grilled fish were outstanding. Ambiance in the evening with fairy lights and the sound of the sea was romantic beyond words. Rooms were also clean and well-maintained. Great value for a premium coastal experience.
REV0024,HTL006,The Lakeside Retreat,Mumbai,3,5.0,1136,16409,492,236,33,1994,Yes,No,Yes,Yes,Yes,Groups,3.1,4.2,3.8,4.7,Swimming Pool|Pet Friendly|Spa|Gym|Room Service,Zoo,0.9,Manish Tiwari,3.3,2024-05-07,Stayed here for 4 nights as a solo traveler on a budget. The hostel-style social vibe was great — easy to meet people. Restaurant serves basic Indian and continental food at very reasonable prices. The pool is small but gets the job done after a hot day of sightseeing. Rooms are clean and the AC worked fine. No luxury amenities but the staff was friendly and the location is excellent. Would stay again.
REV0025,HTL007,Emerald Bay Hotel,Udaipur,3,4.3,1278,16482,523,495,6,1985,No,Yes,Yes,Yes,No,Business,4.9,4.8,4.7,3.7,Kids Club|Laundry|Pet Friendly|Concierge|Bar,Zoo,9.8,Sneha Patel,4.8,2024-03-09,Woke up every morning to the sound of birds and the sight of mist rising off the lake. The open-air lakeside restaurant serves excellent local cuisine and the ambiance is very romantic. The pool overlooks the lake and you can see boats drifting past while you swim. The hotel is well-maintained and the staff was consistently helpful. Ideal for a peaceful escape from city life. One of the most beautiful properties we have stayed at in India.
REV0026,HTL007,Emerald Bay Hotel,Udaipur,3,4.3,1278,16482,523,495,6,1985,No,Yes,Yes,Yes,No,Business,4.9,4.8,4.7,3.7,Kids Club|Laundry|Pet Friendly|Concierge|Bar,Zoo,9.8,Sneha Patel,4.7,2024-12-18,"The rooftop restaurant here is absolutely stunning. We had dinner with a full sea view — unobstructed horizon, the sound of waves, and a beautifully lit outdoor dining area. After dinner we took a dip in the rooftop infinity pool which literally overlooks the ocean. The pool and the restaurant are on the same floor so you can switch between dining and swimming effortlessly. Food quality was exceptional, especially the grilled seafood platter. Staff was very attentive. Would recommend this to anyone looking for a sea view dining experience."
REV0027,HTL007,Emerald Bay Hotel,Udaipur,3,4.3,1278,16482,523,495,6,1985,No,Yes,Yes,Yes,No,Business,4.9,4.8,4.7,3.7,Kids Club|Laundry|Pet Friendly|Concierge|Bar,Zoo,9.8,Vikram Singh,3.2,2024-10-07,Had a mixed experience. The rooftop restaurant was advertised as having sea views but was partially blocked by a neighboring building — disappointing. The pool was often overcrowded and sunbeds were hard to find after 9am. Food at the restaurant was average at best and room service arrived cold on two occasions. The rooms themselves were clean and comfortable but the price point does not match the delivery on amenities. Staff was polite but service was slow. Would not return at this price.
REV0028,HTL007,Emerald Bay Hotel,Udaipur,3,4.3,1278,16482,523,495,6,1985,No,Yes,Yes,Yes,No,Business,4.9,4.8,4.7,3.7,Kids Club|Laundry|Pet Friendly|Concierge|Bar,Zoo,9.8,Arjun Reddy,3.0,2024-11-28,"No frills but everything you need. Clean rooms, functional pool, a simple restaurant with decent food. Staff was helpful with directions and local tips. Met a lot of solo travelers and backpackers here which made for a social atmosphere. The common lounge area is a great place to swap travel stories. No rooftop restaurant or sea views but for the price range this hotel delivers solid value. Great base for exploring the city."
REV0029,HTL007,Emerald Bay Hotel,Udaipur,3,4.3,1278,16482,523,495,6,1985,No,Yes,Yes,Yes,No,Business,4.9,4.8,4.7,3.7,Kids Club|Laundry|Pet Friendly|Concierge|Bar,Zoo,9.8,Nikhil Joshi,3.8,2024-05-28,The rooftop lounge and restaurant is the highlight of this city hotel. Sitting 22 floors up with a panoramic 360 degree view of the city skyline is something else. We had cocktails and small plates up there every evening. The pool on the rooftop is a gorgeous glass edge pool that gives you a stunning overhead view of the streets below. Food is fusion cuisine and the quality is very high. Perfect for a long weekend city break.
REV0030,HTL008,Sunset Haven Delhi,Delhi,4,2.9,1416,5786,468,102,30,2020,Partially,No,Yes,Yes,Yes,Business,4.1,4.7,4.0,3.3,Swimming Pool|Bar|Rooftop Lounge|Bicycle Rental|Room Service,Shopping Mall,6.9,Vikram Singh,4.8,2024-04-28,Rooftop restaurant with sea view — this was the main reason we booked and we were not disappointed. The pool sits right at the edge of the terrace overlooking the coastline. Dining experience was top tier. The pasta and grilled fish were outstanding. Ambiance in the evening with fairy lights and the sound of the sea was romantic beyond words. Rooms were also clean and well-maintained. Great value for a premium coastal experience.
REV0031,HTL008,Sunset Haven Delhi,Delhi,4,2.9,1416,5786,468,102,30,2020,Partially,No,Yes,Yes,Yes,Business,4.1,4.7,4.0,3.3,Swimming Pool|Bar|Rooftop Lounge|Bicycle Rental|Room Service,Shopping Mall,6.9,Anjali Nair,4.9,2024-03-14,"This hotel is a true wellness sanctuary. The spa is the best I have experienced in India — highly skilled therapists, premium oils, and a beautifully designed treatment room with soft natural light. Post-spa the pool area is serene and rarely crowded. The restaurant serves a dedicated wellness menu with fresh juices, salads, and low-calorie options alongside regular meals. There is no rooftop restaurant but the ground floor dining area has large windows with a garden view. Ideal for anyone seeking rest and rejuvenation."
REV0032,HTL008,Sunset Haven Delhi,Delhi,4,2.9,1416,5786,468,102,30,2020,Partially,No,Yes,Yes,Yes,Business,4.1,4.7,4.0,3.3,Swimming Pool|Bar|Rooftop Lounge|Bicycle Rental|Room Service,Shopping Mall,6.9,Rahul Sharma,2.9,2024-06-26,"No frills but everything you need. Clean rooms, functional pool, a simple restaurant with decent food. Staff was helpful with directions and local tips. Met a lot of solo travelers and backpackers here which made for a social atmosphere. The common lounge area is a great place to swap travel stories. No rooftop restaurant or sea views but for the price range this hotel delivers solid value. Great base for exploring the city."
REV0033,HTL008,Sunset Haven Delhi,Delhi,4,2.9,1416,5786,468,102,30,2020,Partially,No,Yes,Yes,Yes,Business,4.1,4.7,4.0,3.3,Swimming Pool|Bar|Rooftop Lounge|Bicycle Rental|Room Service,Shopping Mall,6.9,Divya Choudhary,4.5,2024-12-26,This heritage property is a beautifully restored 19th century mansion. Walking through the corridors feels like stepping back in time. The rooftop terrace overlooks a historic fort and the lake below — not a sea view but equally majestic. The restaurant serves traditional Rajasthani thali with authentic flavors that you simply cannot find in modern hotels. The courtyard pool surrounded by carved stone pillars is stunning. Every corner of this hotel is photogenic. Perfect for travelers who love history and culture.
REV0034,HTL008,Sunset Haven Delhi,Delhi,4,2.9,1416,5786,468,102,30,2020,Partially,No,Yes,Yes,Yes,Business,4.1,4.7,4.0,3.3,Swimming Pool|Bar|Rooftop Lounge|Bicycle Rental|Room Service,Shopping Mall,6.9,Kavya Iyer,3.2,2024-12-04,"Booked the honeymoon package and it was absolutely perfect. Private candlelit dinner on the rooftop with the ocean as our backdrop. The pool was heated and we had it to ourselves in the evening — the hotel staff set up floats and chilled wine for us. Rose petals in the room, champagne on arrival, and a surprise dessert plate on our anniversary night. The rooftop restaurant has a curated tasting menu that was one of the best meals of our lives. Service was discreet, warm, and deeply thoughtful."
REV0035,HTL009,The Lakeside Retreat Mumbai,Mumbai,3,3.2,1935,12957,512,440,16,1999,Yes,Yes,No,No,No,Couples,4.9,3.6,4.1,3.8,Rooftop Lounge|Swimming Pool|Spa|Bar|Gym|Free Parking|Concierge|Laundry,Local Market,6.0,Sneha Patel,3.5,2024-10-07,"Came here for a birthday celebration and the rooftop restaurant delivered. The city view from up top is spectacular, especially at night when the lights of the city spread out below you. The pool on the same level makes it a complete rooftop experience. Desserts were exceptional and the staff arranged a surprise cake. Service was personalized and thoughtful. The hotel is centrally located so sightseeing was easy. Highly recommend for special occasions."
REV0036,HTL009,The Lakeside Retreat Mumbai,Mumbai,3,3.2,1935,12957,512,440,16,1999,Yes,Yes,No,No,No,Couples,4.9,3.6,4.1,3.8,Rooftop Lounge|Swimming Pool|Spa|Bar|Gym|Free Parking|Concierge|Laundry,Local Market,6.0,Nikhil Joshi,2.6,2024-07-01,This heritage property is a beautifully restored 19th century mansion. Walking through the corridors feels like stepping back in time. The rooftop terrace overlooks a historic fort and the lake below — not a sea view but equally majestic. The restaurant serves traditional Rajasthani thali with authentic flavors that you simply cannot find in modern hotels. The courtyard pool surrounded by carved stone pillars is stunning. Every corner of this hotel is photogenic. Perfect for travelers who love history and culture.
REV0037,HTL009,The Lakeside Retreat Mumbai,Mumbai,3,3.2,1935,12957,512,440,16,1999,Yes,Yes,No,No,No,Couples,4.9,3.6,4.1,3.8,Rooftop Lounge|Swimming Pool|Spa|Bar|Gym|Free Parking|Concierge|Laundry,Local Market,6.0,Manish Tiwari,4.8,2024-09-22,"Booked the honeymoon package and it was absolutely perfect. Private candlelit dinner on the rooftop with the ocean as our backdrop. The pool was heated and we had it to ourselves in the evening — the hotel staff set up floats and chilled wine for us. Rose petals in the room, champagne on arrival, and a surprise dessert plate on our anniversary night. The rooftop restaurant has a curated tasting menu that was one of the best meals of our lives. Service was discreet, warm, and deeply thoughtful."
REV0038,HTL009,The Lakeside Retreat Mumbai,Mumbai,3,3.2,1935,12957,512,440,16,1999,Yes,Yes,No,No,No,Couples,4.9,3.6,4.1,3.8,Rooftop Lounge|Swimming Pool|Spa|Bar|Gym|Free Parking|Concierge|Laundry,Local Market,6.0,Rohan Gupta,3.4,2024-02-22,Woke up every morning to the sound of birds and the sight of mist rising off the lake. The open-air lakeside restaurant serves excellent local cuisine and the ambiance is very romantic. The pool overlooks the lake and you can see boats drifting past while you swim. The hotel is well-maintained and the staff was consistently helpful. Ideal for a peaceful escape from city life. One of the most beautiful properties we have stayed at in India.
REV0039,HTL010,Emerald Bay Hotel,Pune,3,4.4,1280,11634,618,187,27,2003,Partially,Yes,Yes,No,No,Business,4.2,3.6,3.9,3.0,Restaurant|Conference Rooms|Room Service|Free Parking|Concierge|Rooftop Lounge,Theme Park,4.5,Amit Verma,3.2,2024-11-21,We had our family reunion here with 12 adults and 5 children. The hotel handled our group beautifully. Multiple dining options in the restaurant and poolside snack bar made feeding everyone effortless. The kids had a blast at the pool area which has slides and splash pads. Common areas are well-supervised. Evening cultural performances at the courtyard were a hit with both adults and kids. Rooms were clean and the buffet breakfast was elaborate and fresh.
REV0040,HTL010,Emerald Bay Hotel,Pune,3,4.4,1280,11634,618,187,27,2003,Partially,Yes,Yes,No,No,Business,4.2,3.6,3.9,3.0,Restaurant|Conference Rooms|Room Service|Free Parking|Concierge|Rooftop Lounge,Theme Park,4.5,Neha Bansal,3.3,2024-04-22,Woke up every morning to the sound of birds and the sight of mist rising off the lake. The open-air lakeside restaurant serves excellent local cuisine and the ambiance is very romantic. The pool overlooks the lake and you can see boats drifting past while you swim. The hotel is well-maintained and the staff was consistently helpful. Ideal for a peaceful escape from city life. One of the most beautiful properties we have stayed at in India.
REV0041,HTL010,Emerald Bay Hotel,Pune,3,4.4,1280,11634,618,187,27,2003,Partially,Yes,Yes,No,No,Business,4.2,3.6,3.9,3.0,Restaurant|Conference Rooms|Room Service|Free Parking|Concierge|Rooftop Lounge,Theme Park,4.5,Pooja Desai,3.1,2024-04-05,The hotel sits right on the lake and every room has a water view. The restaurant is built on a jetty that extends over the lake — dining above still water with mountains reflected in it is a surreal experience. It is not a sea view but the lake view is arguably more beautiful and peaceful. The pool is positioned at the edge of the property with the lake just beyond it. Boat rides are available at sunrise which we highly recommend. Great for couples and nature lovers.
REV0042,HTL010,Emerald Bay Hotel,Pune,3,4.4,1280,11634,618,187,27,2003,Partially,Yes,Yes,No,No,Business,4.2,3.6,3.9,3.0,Restaurant|Conference Rooms|Room Service|Free Parking|Concierge|Rooftop Lounge,Theme Park,4.5,Rahul Sharma,2.6,2024-08-20,"Great hotel for families. The swimming pool has a shallow section for kids and lifeguards are always present which gave us peace of mind. The restaurant serves continental and Indian food and the kitchen accommodated our kids' food preferences without any fuss. The family suite was large with a separate sleeping area for children. Staff was warm and patient with our little ones. The property is clean, safe, and well-maintained. Highly recommend for family vacations."
REV0043,HTL010,Emerald Bay Hotel,Pune,3,4.4,1280,11634,618,187,27,2003,Partially,Yes,Yes,No,No,Business,4.2,3.6,3.9,3.0,Restaurant|Conference Rooms|Room Service|Free Parking|Concierge|Rooftop Lounge,Theme Park,4.5,Amit Verma,3.6,2024-11-19,Had a mixed experience. The rooftop restaurant was advertised as having sea views but was partially blocked by a neighboring building — disappointing. The pool was often overcrowded and sunbeds were hard to find after 9am. Food at the restaurant was average at best and room service arrived cold on two occasions. The rooms themselves were clean and comfortable but the price point does not match the delivery on amenities. Staff was polite but service was slow. Would not return at this price.
REV0044,HTL011,The Riverside Chennai,Chennai,3,3.1,2866,1681,309,418,29,1999,Yes,No,Yes,Yes,Yes,Mixed,3.3,3.9,3.8,4.1,Room Service|Kids Club|Free Parking|Concierge|Pet Friendly|Conference Rooms,Botanical Garden,4.6,Kavya Iyer,4.6,2024-05-25,The hotel sits right on the lake and every room has a water view. The restaurant is built on a jetty that extends over the lake — dining above still water with mountains reflected in it is a surreal experience. It is not a sea view but the lake view is arguably more beautiful and peaceful. The pool is positioned at the edge of the property with the lake just beyond it. Boat rides are available at sunrise which we highly recommend. Great for couples and nature lovers.
